Name,Mode,AverageElapsedMilliseconds
fuji,0,7507.2
fuji,1,16194.0
fuji,2,7614.8
fuji,3,8980.4
hayashi,0,6231.4
hayashi,1,13528.8
hayashi,2,7679.4
hayashi,3,10059.4
kizu,0,16789.6
kizu,1,18081.4
kizu,2,9520.8
kizu,3,10440.6
kominato,0,6957.0
kominato,1,13655.8
kominato,2,7853.6
kominato,3,8159.0
nakamura,0,5711.8
nakamura,1,13698.2
nakamura,2,6990.2
nakamura,3,8729.0
narita,0,6714.6
narita,1,20012.2
narita,2,9075.25
narita,3,12065.0
onoda,0,14723.0
onoda,1,25988.6
onoda,2,6651.0
onoda,3,16786.6
sakamoto,0,10307.6
sakamoto,1,28069.6
sakamoto,2,9186.8
sakamoto,3,11784.8
sano,0,11606.2
sano,1,20684.0
sano,2,8194.4
sano,3,10246.2
sugawara,0,11596.2
sugawara,1,20134.0
sugawara,2,11508.0
sugawara,3,11074.0
